date,cash,stock_value,total_value
2016-06-30,3762130.429878995,3892515.743312999,7654646.173191994
2016-07-01,3762130.429878995,3877569.815057,7639700.244935995
2016-07-04,3762130.429878995,3949803.266116,7711933.695994996
2016-07-05,3762130.429878995,3981650.5705479993,7743781.000426995
2016-07-06,3762130.429878995,4019434.659599,7781565.089477994
2016-07-07,3762130.429878995,4024547.355716,7786677.785594994
2016-07-08,3762130.429878995,3981286.504099,7743416.933977995
2016-07-11,3762130.429878995,3963800.180147999,7725930.610026994
2016-07-12,3762130.429878995,3975821.796729,7737952.226607995
2016-07-13,3762130.429878995,3994288.860176,7756419.290054996
2016-07-14,3762130.429878995,3994864.703472001,7756995.133350995
2016-07-15,3762130.429878995,3974842.1275400016,7736972.557418996
2016-07-18,3762130.429878995,3938341.901105999,7700472.330984994
2016-07-19,3762130.429878995,3953580.8796240008,7715711.309502996
2016-07-20,3762130.429878995,3963840.468733,7725970.898611994
2016-07-21,3762130.429878995,3941772.903130999,7703903.333009994
2016-07-22,3762130.429878995,3903967.895834001,7666098.325712996
2016-07-25,3762130.429878995,3898689.103314999,7660819.533193993
2016-07-26,3762130.429878995,3941307.679432999,7703438.109311994
2016-07-27,3762130.429878995,3779209.703365,7541340.133243995
2016-07-28,3762130.429878995,3758583.749251,7520714.179129995
2016-07-29,3762130.429878995,3726970.33322,7489100.763098994
2016-08-01,3762130.429878995,3669466.704702,7431597.134580995
2016-08-02,1692901.2244335175,5800185.286841,7493086.511274518
2016-08-03,1692901.2244335175,5786567.017942999,7479468.242376516
2016-08-04,1692901.2244335175,5832719.740686001,7525620.965119518
2016-08-05,1692901.2244335175,5791381.386843999,7484282.611277517
2016-08-08,1692901.2244335175,5861064.588196999,7553965.812630517
2016-08-09,1692901.2244335175,5913166.996064001,7606068.220497519
2016-08-10,1692901.2244335175,5918386.219812998,7611287.444246516
2016-08-11,1692901.2244335175,5792791.484125999,7485692.708559517
2016-08-12,1692901.2244335175,5843765.528953,7536666.753386518
2016-08-15,1692901.2244335175,5948234.908163999,7641136.132597517
2016-08-16,1692901.2244335175,6014060.387274,7706961.611707518
2016-08-17,1692901.2244335175,6022090.365697,7714991.590130517
2016-08-18,1692901.2244335175,6005839.160938999,7698740.385372516
2016-08-19,1692901.2244335175,6023816.582289001,7716717.806722518
2016-08-22,1692901.2244335175,5960414.944372,7653316.168805517
2016-08-23,1692901.2244335175,5953067.0809,7645968.305333517
2016-08-24,1692901.2244335175,5957955.159185999,7650856.383619517
2016-08-25,1692901.2244335175,5893143.992799999,7586045.217233516
2016-08-26,1692901.2244335175,5948065.851000003,7640967.075433521
2016-08-29,1692901.2244335175,5940723.871034,7633625.095467517
2016-08-30,1692901.2244335175,5954499.390641999,7647400.615075516
2016-08-31,1692901.2244335175,5983288.208682999,7676189.433116516
2016-09-01,1692901.2244335175,5965585.737524001,7658486.961957518
2016-09-02,1692901.2244335175,5915545.715548002,7608446.93998152
2016-09-05,1692901.2244335175,5935481.902760998,7628383.127194516
2016-09-06,1692901.2244335175,6072532.117979001,7765433.342412518
2016-09-07,1692901.2244335175,6045978.738376999,7738879.962810516
2016-09-08,1692901.2244335175,6052765.093059,7745666.317492517
2016-09-09,1692901.2244335175,6072728.249714002,7765629.474147519
2016-09-12,1692901.2244335175,5910944.316148,7603845.540581517
2016-09-13,1692901.2244335175,5933004.840578998,7625906.065012516
2016-09-14,1692901.2244335175,5886944.253649,7579845.478082517
2016-09-19,1692901.2244335175,5933954.415309,7626855.639742518
2016-09-20,1692901.2244335175,5932426.877383,7625328.101816518
2016-09-21,1692901.2244335175,5934215.561271001,7627116.785704518
2016-09-22,1692901.2244335175,5945602.220695999,7638503.445129517
2016-09-23,1692901.2244335175,5893535.277141,7586436.501574518
2016-09-26,1692901.2244335175,5734009.660929,7426910.885362517
2016-09-27,1692901.2244335175,5812342.458076001,7505243.682509519
2016-09-28,1692901.2244335175,5809029.139384,7501930.363817517
2016-09-29,1692901.2244335175,5800977.251829,7493878.476262517
2016-09-30,1692901.2244335175,5834987.726578002,7527888.95101152
2016-10-10,1692901.2244335175,5963111.083601001,7656012.308034519
2016-10-11,1692901.2244335175,6005939.314585001,7698840.539018519
2016-10-12,1692901.2244335175,5986266.847617001,7679168.072050519
2016-10-13,1692901.2244335175,5968875.972176,7661777.196609518
2016-10-14,1692901.2244335175,5962489.420183003,7655390.64461652
2016-10-17,1692901.2244335175,5906547.867975,7599449.092408517
2016-10-18,1692901.2244335175,6028071.548901,7720972.773334518
2016-10-19,1692901.2244335175,6033298.330365999,7726199.554799516
