code,name,industry,source,update_date
300635,中达安,建筑工程,tushare,2026-08-04
300638,广和通,通信设备,tushare,2026-08-04
300643,万通智控,汽车配件,tushare,2026-08-04
300647,超频三,化工原料,tushare,2026-08-04
300651,金陵体育,文教休闲,tushare,2026-08-04
300653,正海生物,医疗保健,tushare,2026-08-04
300654,世纪天鸿,出版业,tushare,2026-08-04
300655,晶瑞电材,半导体,tushare,2026-08-04
300659,中孚信息,IT设备,tushare,2026-08-04
300661,圣邦股份,半导体,tushare,2026-08-04
300662,科锐国际,文教休闲,tushare,2026-08-04
300666,江丰电子,半导体,tushare,2026-08-04
300672,国科微,半导体,tushare,2026-08-04
300673,佩蒂股份,饲料,tushare,2026-08-04
300674,宇信科技,软件服务,tushare,2026-08-04
300675,建科院,建筑工程,tushare,2026-08-04
300676,华大基因,医疗保健,tushare,2026-08-04
300678,中科信息,软件服务,tushare,2026-08-04
300681,英搏尔,汽车配件,tushare,2026-08-04
300682,朗新科技,软件服务,tushare,2026-08-04
300684,中石科技,元器件,tushare,2026-08-04
300685,艾德生物,医疗保健,tushare,2026-08-04
300686,智动力,元器件,tushare,2026-08-04
300687,赛意信息,软件服务,tushare,2026-08-04
300696,爱乐达,航空,tushare,2026-08-04
300698,万马科技,通信设备,tushare,2026-08-04
300702,天宇股份,化学制药,tushare,2026-08-04
300705,九典制药,化学制药,tushare,2026-08-04
300706,阿石创,元器件,tushare,2026-08-04
300709,精研科技,元器件,tushare,2026-08-04
300710,万隆光电,通信设备,tushare,2026-08-04
300711,广哈通信,通信设备,tushare,2026-08-04
300713,英可瑞,电气设备,tushare,2026-08-04
300715,凯伦股份,其他建材,tushare,2026-08-04
300720,海川智能,电器仪表,tushare,2026-08-04
300722,新余国科,航空,tushare,2026-08-04
300724,捷佳伟创,专用机械,tushare,2026-08-04
300725,药石科技,化学制药,tushare,2026-08-04
300726,宏达电子,元器件,tushare,2026-08-04
300729,乐歌股份,家居用品,tushare,2026-08-04
300735,光弘科技,元器件,tushare,2026-08-04
300736,百邦科技,通信设备,tushare,2026-08-04
300740,水羊股份,日用化工,tushare,2026-08-04
300746,汉嘉数智,建筑工程,tushare,2026-08-04
300747,锐科激光,专用机械,tushare,2026-08-04
300752,隆利科技,元器件,tushare,2026-08-04
300755,华致酒行,其他商业,tushare,2026-08-04
300759,康龙化成,化学制药,tushare,2026-08-04
300760,迈瑞医疗,医疗保健,tushare,2026-08-04
300761,立华股份,农业综合,tushare,2026-08-04
300763,锦浪科技,电气设备,tushare,2026-08-04
300766,每日互动,互联网,tushare,2026-08-04
300769,德方纳米,化工原料,tushare,2026-08-04
300772,运达股份,电气设备,tushare,2026-08-04
300777,中简科技,化纤,tushare,2026-08-04
300779,惠城环保,环境保护,tushare,2026-08-04
300783,三只松鼠,食品,tushare,2026-08-04
300785,值得买,互联网,tushare,2026-08-04
300791,仙乐健康,医疗保健,tushare,2026-08-04
300795,米奥会展,文教休闲,tushare,2026-08-04
300803,指南针,软件服务,tushare,2026-08-04
300805,电声股份,广告包装,tushare,2026-08-04
300810,中科海讯,船舶,tushare,2026-08-04
300815,玉禾田,环境保护,tushare,2026-08-04
300820,英杰电气,电气设备,tushare,2026-08-04
300827,上能电气,电气设备,tushare,2026-08-04
300832,新产业,医疗保健,tushare,2026-08-04
300836,佰奥智能,专用机械,tushare,2026-08-04
300850,新强联,机械基件,tushare,2026-08-04
