date,code,action,price,shares
2005-08-02,800,SELL,1.90461578769,1800
2005-08-02,157,SELL,0.31132280556,43100
2005-08-02,600590,SELL,1.88098720992,6500
2005-08-02,600157,SELL,0.28519452,11600
2005-08-02,600458,SELL,0.90383573952,3600
2005-08-02,600496,SELL,0.91572131205,7400
2005-08-02,758,SELL,1.35466382016,2600
2005-08-02,600415,SELL,0.65407229298,4600
2005-08-02,90,SELL,0.57990894057,5500
2005-08-02,600179,SELL,1.53824300721,1600
2005-08-02,600331,SELL,2.70098894736,1200
2005-08-02,600490,SELL,0.3838221236699999,8600
2005-08-02,600475,SELL,2.26798598376,2100
2005-08-02,600408,SELL,3.0552424992,3900
2005-08-02,600875,SELL,4.55051338155,1000
2005-08-02,612,SELL,1.00054288557,3100
2005-08-02,600282,SELL,0.87932611368,3500
2005-08-02,969,SELL,1.95903862038,5700
2005-08-02,600803,BUY,1.2743135405,9600
2005-08-02,554,BUY,2.4024637937299995,5100
2005-08-02,68,BUY,4.43216445672,2700
2005-08-02,881,BUY,2.32743061551,5300
2005-08-02,600138,BUY,2.38407002834,5100
2005-08-02,981,BUY,0.5665264604999999,21800
2005-08-02,928,BUY,1.0145950814999998,12100
2005-08-02,902,BUY,0.7690972889599998,16000
2005-08-02,600673,BUY,0.65542766289,18800
2005-08-02,923,BUY,1.7795558780999998,6900
2005-08-02,755,BUY,4.06521837722,3000
2005-08-02,801,BUY,0.6373209843,19300
2005-08-02,777,BUY,1.6888421549999997,7300
2005-08-02,722,BUY,2.9879243394,4100
2005-08-02,70,BUY,1.3644310679999998,9000
2005-08-02,524,BUY,2.12994815033,5700
2005-08-02,888,BUY,1.960430472,6200
2005-11-01,600255,SELL,0.68130477324,6400
2005-11-01,736,SELL,1.1099407482,6200
2005-11-01,402,SELL,1.63269343224,2100
2005-11-01,783,SELL,0.6696628168500001,6600
2005-11-01,600562,SELL,0.85866855192,3700
2005-11-01,401,SELL,2.13304893588,1900
2005-11-01,923,SELL,2.06354323116,6900
2005-11-01,1896,SELL,2.03796,1300
2005-11-01,755,SELL,4.17686273622,3000
2005-11-01,600894,SELL,1.083579336,2500
2005-11-01,600128,SELL,2.94988391325,1300
2005-11-01,672,SELL,1.2057895634400002,3200
2005-11-01,777,SELL,2.32110657,7300
2005-11-01,722,SELL,3.149951895,4100
2005-11-01,600513,SELL,1.56255819768,2500
2005-11-01,670,SELL,2.35764,1600
2005-11-01,600345,SELL,5.25641769063,700
2005-11-01,600267,SELL,4.04774532288,800
2005-11-01,725,SELL,2.12346242199,1800
2005-11-01,532,SELL,2.8799807364,900
2005-11-01,600552,SELL,0.63508492935,4800
2005-11-01,915,SELL,1.64848993992,2300
2005-11-01,501,SELL,2.05371127296,2200
2005-11-01,600816,SELL,0.34329540096,8500
2005-11-01,600784,SELL,1.04480079336,2800
2005-11-01,600703,SELL,0.19263253464,18600
2005-11-01,554,SELL,2.70071409249,5100
2005-11-01,600251,SELL,1.076600322,3900
2005-11-01,600460,SELL,3.2876536454100003,1300
2005-11-01,60,SELL,0.9397265328,4300
2005-11-01,928,SELL,1.15663245975,12100
2005-11-01,600353,SELL,0.61847335755,5800
2005-11-01,600498,SELL,2.60390973375,1300
2005-11-01,685,SELL,0.8020398573,4500
2005-11-01,902,SELL,0.91490485932,16000
2005-11-01,600233,SELL,1.4146699939199998,2600
2005-11-01,801,SELL,0.76561287075,19300
