date,cash,stock,total_value,position
2018-02-13,86979744.17731065,37277033.21884742,124256777.39615807,0.3
2018-02-14,87424932.86331895,37467828.369993836,124892761.23331279,0.3
2018-02-22,0.0,125774076.61168547,125774076.61168547,1.0
2018-02-23,0.0,126638413.73737359,126638413.73737359,1.0
2018-02-26,0.0,129117162.35449871,129117162.35449871,1.0
2018-02-27,0.0,128280710.549282,128280710.549282,1.0
2018-02-28,89370140.39616868,38301488.74121515,127671629.13738383,0.3
2018-03-01,0.0,127926887.75429428,127926887.75429428,1.0
2018-03-02,88920560.5729713,38108811.67413056,127029372.24710186,0.3
2018-03-05,88823278.25841005,38067119.25360431,126890397.51201436,0.3
2018-03-06,0.0,127366806.91279022,127366806.91279022,1.0
2018-03-07,88100950.13200971,37757550.05657559,125858500.18858531,0.3
2018-03-08,0.0,126191467.94100975,126191467.94100975,1.0
2018-03-09,0.0,127196358.6895744,127196358.6895744,1.0
2018-03-12,0.0,129204863.95939331,129204863.95939331,1.0
2018-03-13,0.0,128212162.79668571,128212162.79668571,1.0
2018-03-14,0.0,127095402.46984336,127095402.46984336,1.0
2018-03-15,0.0,126658738.44810346,126658738.44810346,1.0
2018-03-16,0.0,125724541.51203062,125724541.51203062,1.0
2018-03-19,0.0,125426842.19894993,125426842.19894993,1.0
2018-03-20,0.0,125499549.06136847,125499549.06136847,1.0
2018-03-21,87144078.37614436,37347462.161204726,124491540.53734909,0.3
2018-03-22,86923288.90404993,37252838.10173568,124176127.00578561,0.3
2018-03-23,85419874.3121263,36608517.56233984,122028391.87446614,0.3
2018-03-26,85874909.87950319,36803532.805501364,122678442.68500456,0.3
2018-03-27,86412375.83741707,37033875.35889303,123446251.1963101,0.3
2018-03-28,86019026.22303893,36865296.95273097,122884323.1757699,0.3
2018-03-29,86288680.6552099,36980863.137947105,123269543.79315701,0.3
2018-03-30,86706356.64087038,37159867.13180159,123866223.77267197,0.3
2018-04-02,86785001.68479452,37193572.15062622,123978573.83542074,0.3
