date,cash,stock_value,total_value,close,ma120,ma250,target_position,overlay_total,overlay_stock,overlay_cash
2024-08-05,676945.8644522846,5899837.677162002,6576783.541614287,3343.321,3522.3743583333335,3552.0554439999996,0.3,6576783.541614287,1973035.0624842858,4603748.479130001
2024-08-06,676945.8644522846,5950546.027438998,6627491.891891283,3342.979,3523.7356166666664,3549.799308,0.3,6627491.891891283,1988247.5675673848,4639244.324323898
2024-08-07,676945.8644522846,5956657.130386999,6633602.994839284,3341.489,3524.911175,3547.5558800000003,0.3,6633602.994839284,1990080.898451785,4643522.096387498
2024-08-08,676945.8644522846,5957794.070866998,6634739.935319283,3342.937,3525.1715499999996,3544.956676,0.3,6634739.935319283,1990421.9805957847,4644317.954723498
2024-08-09,676945.8644522846,5938261.966527998,6615207.830980283,3331.627,3525.071525,3542.224664,0.3,6615207.830980283,1984562.3492940848,4630645.481686198
2024-08-12,676945.8644522846,5936410.164530002,6613356.028982286,3325.865,3524.7459833333332,3539.53612,0.3,6613356.028982286,1984006.8086946858,4629349.2202876005
2024-08-13,676945.8644522846,5981385.068185999,6658330.932638284,3334.39,3524.1675000000005,3536.9940999999994,0.3,6658330.932638284,1997499.279791485,4660831.652846798
2024-08-14,676945.8644522846,5910676.157456998,6587622.021909283,3309.239,3523.320708333333,3534.21112,0.3,6587622.021909283,1976286.6065727847,4611335.415336498
2024-08-15,676945.8644522846,5933193.713210999,6610139.577663284,3341.953,3522.3630583333334,3531.496616,0.3,6610139.577663284,1983041.873298985,4627097.704364299
2024-08-16,676945.8644522846,5920226.754038001,6597172.618490286,3345.634,3521.187716666667,3528.91854,0.3,6597172.618490286,1979151.7855470858,4618020.8329432
2024-08-19,676945.8644522846,5931818.057738,6608763.922190284,3356.968,3520.0812666666666,3526.427484,0.3,6608763.922190284,1982629.1766570853,4626134.745533199
2024-08-20,676945.8644522846,5823345.399266002,6500291.263718287,3332.703,3519.0757999999996,3523.8880360000003,0.3,6500291.263718287,1950087.379115486,4550203.884602802
2024-08-21,676945.8644522846,5797157.651875,6474103.516327284,3321.635,3517.632866666667,3521.271708,0.3,6474103.516327284,1942231.0548981852,4531872.461429099
2024-08-22,676945.8644522846,5778314.010024997,6455259.874477282,3313.136,3516.490166666667,3518.987236,0.3,6455259.874477282,1936577.9623431845,4518681.912134098
2024-08-23,676945.8644522846,5771998.571589,6448944.436041284,3327.191,3514.916066666666,3516.8723760000003,0.3,6448944.436041284,1934683.3308123853,4514261.105228899
2024-08-26,676945.8644522846,5787277.912102001,6464223.776554286,3324.223,3513.136225,3514.783124,0.3,6464223.776554286,1939267.1329662856,4524956.643588
2024-08-27,676945.8644522846,5728130.280418001,6405076.144870286,3305.334,3511.173433333334,3512.731124,0.3,6405076.144870286,1921522.8434610856,4483553.3014092
2024-08-28,676945.8644522846,5739325.984942,6416271.849394285,3286.496,3508.8482833333333,3510.5527039999997,0.3,6416271.849394285,1924881.5548182854,4491390.2945759995
2024-08-29,676945.8644522846,5795392.882999999,6472338.747452284,3277.681,3506.570225,3508.527412,0.3,6472338.747452284,1941701.6242356852,4530637.123216599
2024-08-30,676945.8644522846,5874343.312039001,6551289.176491286,3321.432,3504.834491666667,3506.8949199999997,0.3,6551289.176491286,1965386.7529473857,4585902.4235439
2024-09-02,676945.8644522846,5786569.016542999,6463514.880995284,3265.011,3502.502,3504.922056,0.3,6463514.880995284,1939054.464298585,4524460.416696699
2024-09-03,676945.8644522846,5805250.620431,6482196.484883285,3273.428,3499.8700333333336,3503.2292319999997,0.3,6482196.484883285,1944658.9454649854,4537537.5394183
2024-09-04,676945.8644522846,5775014.978792999,6451960.843245284,3252.165,3496.992291666667,3501.344176,0.3,6451960.843245284,1935588.252973585,4516372.590271698
2024-09-05,676945.8644522846,5780875.418508999,6457821.282961284,3257.758,3494.3705999999997,3499.5386000000003,0.3,6457821.282961284,1937346.384888385,4520474.898072898
2024-09-06,676945.8644522846,5682232.393073999,6359178.257526284,3231.346,3491.6132916666666,3497.4535080000005,0.3,6359178.257526284,1907753.477257885,4451424.780268399
2024-09-09,676945.8644522846,5634715.676968998,6311661.541421283,3192.952,3488.4712833333333,3495.064888,0.3,6311661.541421283,1893498.462426385,4418163.078994898
2024-09-10,676945.8644522846,5645567.118897998,6322512.983350283,3195.755,3485.073175,3492.693868,0.3,6322512.983350283,1896753.8950050846,4425759.088345198
2024-09-11,676945.8644522846,5665907.351823,6342853.216275285,3186.13,3481.810675,3490.377316,0.3,6342853.216275285,1902855.9648825855,4439997.2513927
2024-09-12,676945.8644522846,5660116.554205,6337062.418657285,3172.475,3478.3697666666662,3487.9012519999997,0.3,6337062.418657285,1901118.7255971855,4435943.6930601
2024-09-13,676945.8644522846,5621136.142114998,6298082.006567283,3159.247,3474.854408333333,3485.1424319999996,0.3,6298082.006567283,1889424.6019701846,4408657.404597098
2024-09-18,676945.8644522846,5653269.147434998,6330215.011887283,3171.01,3471.7378083333333,3482.545204,0.3,6330215.011887283,1899064.5035661848,4431150.508321098
2024-09-19,676945.8644522846,5714645.024950999,6391590.889403284,3196.036,3468.990083333333,3480.081236,0.3,6391590.889403284,1917477.266820985,4474113.622582299
2024-09-20,676945.8644522846,5697033.054510001,6373978.918962286,3201.05,3466.134275,3477.8515359999997,0.3,6373978.918962286,1912193.6756886856,4461785.2432736
