code,buy_date,sell_date,shares,avg_cost,sell_price,loss_amount,return,holding_days,max_position_value,name,industry,contribution
300075,2011-05-04,2011-11-01 00:00:00,8100,4.696594502599999,4.12987873725,-4590.397699334991,-0.12066525330987576,181,38042.41547105999,数字政通,软件服务,5.919020196737806e-05
688319,2023-05-05,2023-11-01 00:00:00,3300,20.8328020901,19.44820727505,-4569.162889665003,-0.06646224588808325,180,92925.833,欧林生物,生物制药,5.891639286511062e-05
002679,2018-05-03,2018-11-01 00:00:00,2800,14.68167803102,13.060663063200002,-4538.841909895998,-0.11041074217777136,182,41108.698486856,福建金森,林业,5.8525423490793404e-05
000537,2008-11-03,2009-05-05 00:00:00,3400,5.954790559364706,4.62150418968,-4533.173656927998,-0.2239014716626656,183,216067.79818624,绿发电力,新型电力,5.845233504400661e-05
600231,2008-05-06,2008-11-03 00:00:00,1400,4.576504332399999,1.33950319596,-4531.801591015998,-0.7073086577288257,181,73592.144113488,凌钢股份,普钢,5.843464314370446e-05
002388,2025-11-03,2026-05-07 00:00:00,16100,5.83583,5.55444,-4530.379000000001,-0.048217648560701765,185,93956.863,新亚制程,元器件,5.841629975494622e-05
600330,2007-05-09,2007-11-01 00:00:00,3000,7.7308658427,6.225046722,-4517.4573621,-0.19478013864668142,176,23192.5975281,天通股份,专用机械,5.82496836124797e-05
600163,2021-11-02,2022-05-06 00:00:00,4300,7.994686169469999,6.94461087756,-4515.323755212996,-0.1313466557223988,185,34377.150528720995,中闽能源,新型电力,5.822217213508003e-05
000720,2013-05-03,2013-11-01 00:00:00,12000,2.89289,2.51748,-4504.92,-0.12976988409514367,182,34714.68,新能泰山,电气设备,5.808802245729381e-05
600629,2010-02-02,2010-05-05 00:00:00,7500,5.817538961100532,5.21791787898,-4497.158115903994,-0.10307126194254135,92,67021.480009484,华建集团,建筑工程,5.7987937994599757e-05
000949,2013-11-01,2014-05-06 00:00:00,9800,3.3767375263049995,2.92017138552,-4474.348179692993,-0.13520924775121546,186,26384.638984703994,新乡化纤,化纤,5.769381865688141e-05
000811,2019-05-07,2019-11-01 00:00:00,6800,5.78364754968,5.12728371387,-4463.274083508004,-0.11348614004778279,178,39328.803337824,冰轮环境,工程机械,5.755102536690338e-05
600489,2008-11-03,2009-05-05 00:00:00,2800,8.008822879199998,6.419864908799999,-4449.082317119998,-0.19840093786151014,183,38585.3803335,中金黄金,黄金,5.7368031741121975e-05
600860,2011-05-04,2011-08-02 00:00:00,4600,8.21821,7.25274,-4441.161999999995,-0.11747935377655216,90,62162.09999999999,京城股份,专用机械,5.726590438730978e-05
600375,2007-11-01,2008-05-06 00:00:00,2900,7.35632500603,5.82496857063,-4440.933662659998,-0.20816867581907306,187,93585.49199999998,汉马科技,汽车整车,5.726296012536205e-05
000975,2011-05-04,2011-11-01 00:00:00,10300,3.6961672047299996,3.26640260772,-4426.575349202997,-0.11627303993716198,181,67812.2445,山金国际,黄金,5.7077818983113324e-05
600022,2008-05-06,2008-11-03 00:00:00,1100,5.7548192702,1.7327972282400002,-4424.224246156,-0.6988963255174858,181,13238.9044788,山东钢铁,普钢,5.704750303375276e-05
600132,2007-05-09,2007-11-01 00:00:00,1000,21.30648645125,16.8831622377,-4423.3242135499995,-0.20760458199763365,176,228605.485250142,重庆啤酒,啤酒,5.703589769687005e-05
