code,shares,avg_cost,max_position_value,bottom_value,loss_amount,loss_ratio,peak_date,bottom_date,holding_days,name,industry
300618,300,107.22466245491,42416.71785,2294.213427,40122.504423,0.9459125188536953,2018-03-15,2017-03-06,168,寒锐钴业,小金属
300554,800,50.86805195472,47703.476448,9441.859703999999,38261.616744,0.802071873854052,2018-04-12,2017-04-21,168,三超新材,矿物制品
300365,3300,22.31535565532,57043.291041000004,18928.634835,38114.656206,0.6681707087798457,2015-06-18,2015-09-02,168,恒华科技,软件服务
300121,3800,11.083995602679998,57222.439080000004,19541.753612,37680.685468,0.6584949204161047,2015-06-17,2015-09-15,168,阳谷华泰,化工原料
603638,4800,8.73925804752,47213.636399999996,9600.342912,37613.293487999996,0.7966616502345919,2018-08-29,2017-01-20,168,艾迪精密,专用机械
600436,400,126.85859899712999,48585.290784,11102.989144,37482.30164,0.7714742679350926,2018-05-28,2016-02-29,168,片仔癀,中成药
300409,1600,26.28328750047,48380.254032,12276.366367999999,36103.887663999994,0.7462525442739494,2017-09-13,2015-09-15,168,道氏技术,电气设备
300423,3600,11.6085394425,60612.136992,24758.571168,35853.565824000005,0.5915245296289785,2015-12-11,2015-07-08,168,昇辉科技,电气设备
603399,2300,86.49539333435,50747.388392999994,16210.052355,34537.336037999994,0.680573663624511,2015-06-15,2015-09-15,168,永杉锂业,小金属
600673,4900,37.056624989057134,56133.7336,22589.30086,33544.432740000004,0.5975806451612904,2015-06-15,2015-09-02,168,东阳光,综合类
600771,1100,90.89237947608001,49298.785272,16107.835392,33190.94988,0.6732610082961072,2018-06-06,2015-09-15,168,广誉远,中成药
603866,3200,13.0960276447,47790.282176,14652.553664000001,33137.728512,0.6933988878735178,2018-06-06,2015-12-22,168,桃李面包,食品
600641,4300,21.02647966209488,60983.991953000004,28011.675158,32972.316795000006,0.5406716703690302,2015-12-22,2018-10-18,168,先导基电,半导体
300316,2400,157.5518624571558,44891.018544,13116.119424,31774.89912,0.7078230824470108,2018-05-07,2016-02-29,168,晶盛机电,专用机械
300347,1000,38.64823358395999,43897.427200000006,13941.46415,29955.963050000006,0.6824081719759649,2018-07-18,2017-06-02,168,泰格医药,医疗保健
300398,2100,19.323632328,51248.164758,21701.824452,29546.340306,0.5765346026637514,2017-03-28,2015-09-02,168,飞凯材料,化工原料
603939,2300,17.73430014356,44821.620507,15756.06168,29065.558827,0.6484718423436007,2018-07-16,2015-09-01,168,益丰药房,医药商业
300003,1200,32.92331733691,42238.41864,14616.08352,27622.335120000003,0.6539623406696743,2018-05-31,2015-08-26,168,乐普医疗,医疗保健
