code,buy_date,buy_price,shares,buy_technical_score,buy_trend_score,buy_momentum_score,break_ma20_date,break_ma60_date,break_ma120_date,technical_score_low,max_loss_after_ma60,holding_days
600237,2016-05-04,7.5409708,4300,0.300658063831711,0.0,0.7191658221649816,2016-05-04,2016-05-06,2016-05-09,0.0991195742656802,-0.6171052631578948,600
600326,2016-05-04,4.82442625,6700,0.2695041577054272,0.0,0.4678907768093798,2016-05-04,2016-05-06,2016-05-04,0.1125183668951289,-0.17672435141899,600
600771,2016-05-04,18.77626764,1700,0.1921538918640031,0.0,0.2374537522487696,2016-05-04,2016-05-04,2016-05-04,0.0794572677055255,-0.0932977913175933,600
300365,2016-05-04,11.17616537,2800,0.2462445457139506,0.0,0.5081916647450261,2016-05-11,2016-07-25,2016-05-04,0.1333816249968152,-0.15191038552071812,600
600692,2016-05-04,14.70279024,2100,0.2543992663066263,0.0,0.4902934030438888,2016-05-09,2016-05-11,2016-05-09,0.0699329400748808,-0.6409214092140921,600
600848,2016-05-04,11.16226044,2900,0.3320279789595888,0.0,0.4400933000294333,2016-08-23,2016-05-06,2016-05-04,0.091513826682989,0.0,600
601999,2016-05-04,8.8152764,3700,0.2706041104859961,0.0,0.4954087689761061,2016-05-06,2016-05-06,2016-05-04,0.1008897812237955,-0.5505432739465775,600
300249,2016-05-04,11.34796264,2900,0.2775067928751534,0.0,0.7097438686267334,2016-05-09,2016-05-09,2016-05-09,0.0636940239886461,-0.4956217162872154,600
300191,2016-05-04,29.89908368,1100,0.1975901254348951,0.0,0.3504334689328319,2016-05-04,2016-05-04,2016-05-04,0.0942092359953104,-0.48511310029552046,600
600490,2016-05-04,7.32785236,4400,0.2328774373373156,0.0,0.4410994841714206,2016-05-04,2016-05-04,2016-05-09,0.0642739235157548,-0.4131897711978465,600
300377,2016-05-04,14.87916087,2100,0.2066752656444777,0.0,0.4778854951546626,2016-05-06,2016-05-10,2016-05-09,0.0962117273826485,-0.404032468129367,600
300040,2016-05-04,7.91943097,4000,0.2891977501856796,0.0,0.7300536520802496,2016-05-09,2016-08-24,2016-09-23,0.113638586312892,-0.6111792183472999,600
600178,2016-05-04,9.0509739,3600,0.2452630181540844,0.0,0.4725937058815366,2016-05-04,2016-05-09,2016-05-04,0.1065539159384281,-0.5769748822278673,600
600962,2016-05-04,16.15,2000,0.2862342869978554,0.0,0.5722657114234212,2016-05-05,2016-05-06,2016-05-06,0.0949099107157712,-0.5826625386996904,600
300070,2016-05-04,15.65200304,2000,0.3138901120956793,0.0,0.5631653676314365,2016-05-06,2016-05-10,2016-05-04,0.0929668591612466,-0.5382709004380566,600
300222,2016-05-04,24.16991352,1300,0.24013331079853,0.0,0.5884626638278885,2016-05-04,2016-05-09,2016-07-27,0.1248872404895067,-0.4337038190610788,600
600711,2016-05-04,6.24919637,5200,0.2455278218367664,0.0,0.3832710772277289,2016-05-04,2016-05-06,2016-05-04,0.0969194665112559,-0.29987093684495625,600
600880,2016-05-04,9.4517304,3400,0.2523290932442038,0.0,0.534695837149352,2016-05-04,2016-05-04,2016-05-09,0.1149802829818081,-0.6359738741595931,600
300013,2016-05-04,10.19273397,3100,0.2486954574597289,0.0,0.4133878524504491,2016-05-04,2016-05-06,2016-05-04,0.1236599255376457,-0.46896386034099546,600
600313,2016-05-04,5.07541762,6500,0.3566696065428851,0.0,0.6887743055158152,2016-05-09,2016-07-29,2016-05-06,0.0999439978990981,-0.5948327617619769,600
600216,2016-05-04,11.25017262,2800,0.3058402237523832,0.0,0.6570353414753543,2016-05-04,2016-05-06,2016-06-24,0.1062130591243941,-0.4045104705246736,600
600391,2016-05-04,39.329568,800,0.2126400631985044,0.0,0.2688274799480549,2016-05-04,2016-05-04,2016-05-04,0.0950711266286447,-0.7228548251534317,600
300215,2016-05-04,10.63131718,3200,0.2906857819363861,0.0,0.5984003675459832,2016-05-06,2016-05-09,2016-05-04,0.111202043308573,-0.5687042336930822,600
300065,2016-05-04,13.7245992,2300,0.2549016029468006,0.0,0.5336861737875026,2016-05-09,2016-05-09,2016-05-04,0.0410534779166748,-0.4845030585665482,600
600986,2016-05-04,12.99972423,2500,0.1774277215634437,0.0,0.2263606457723629,2016-05-04,2016-05-04,2016-05-04,0.0966704483778813,-0.7035942646300275,600
300131,2016-08-02,10.48470147,34600,0.2696245893973468,0.0,0.5287544380425813,2016-08-02,2016-08-02,2016-09-01,0.0720124390389753,-0.5914264404897738,538
300101,2016-08-02,23.62189986,15400,0.2650500258695906,0.0,0.4402449273239525,2016-08-02,2016-08-02,2016-09-12,0.1165240686016703,-0.5796553173602355,538
300279,2016-08-02,14.44672304,24800,0.2547737950972348,0.0,0.4544463854411967,2016-08-02,2016-08-02,2016-12-12,0.0466525990987984,-0.7224284020052758,538
300153,2016-08-02,22.2742292,17400,0.21519626649269,0.0,0.524260404453087,2016-08-02,2016-08-03,2016-09-26,0.0784072793749144,-0.7186001641753781,538
600293,2016-11-01,9.83320345,7600,0.891414940514512,1.0,0.8046271634264168,2016-12-12,2017-01-24,2017-03-31,0.1161377218496002,-0.6216899183551419,480
300343,2016-11-01,12.96202618,6000,0.2650761580393385,0.0,0.5797485844446192,2016-11-01,2016-11-01,2016-11-02,0.0874085295192003,-0.7263437003797195,480
600127,2016-11-01,6.88,11000,0.3437836041019237,0.0,0.6766372562148293,2016-11-01,2016-12-02,2016-12-12,0.1441870425210792,-0.6162790697674418,480
600967,2016-11-01,11.14090359,6700,0.8627420571234006,1.0,0.7226640616700928,2016-11-04,2017-03-09,2017-05-05,0.1164645900856665,-0.1856239822285367,480
300370,2016-11-01,6.61589253,11600,0.8535843790372851,1.0,0.7127104010524733,2016-11-04,2016-11-08,2016-11-29,0.1063868627244888,-0.6489656490837827,480
300271,2016-11-01,20.32432479,3600,0.3388159620542227,0.0,0.688033122223359,2016-11-01,2016-11-17,2016-11-24,0.1435633216489959,-0.4260067204918939,480
600267,2016-11-01,13.18471137,5600,0.3561022732377769,0.0,0.6256127933098926,2016-11-01,2016-11-09,2016-12-05,0.113858431884384,-0.26662001399580126,480
300164,2016-11-01,8.06506332,9300,0.310568688037007,0.0,0.6623756835062712,2016-11-01,2017-01-16,2017-02-17,0.1170305554484532,-0.3555035523267287,480
600693,2016-11-01,9.329168,8000,0.8795670327050233,1.0,0.8801455265136365,2016-11-11,2016-12-12,2017-06-30,0.056702843036229,-0.4708931921903432,480
300143,2016-11-01,12.4621728,6000,0.8979754415452269,1.0,0.8220640302673552,2016-12-15,2016-12-15,2016-12-15,0.0731833585412921,-0.4786770810945584,480
300308,2016-11-01,14.45190663,5600,0.8008746644850964,1.0,0.9645491715821122,2016-11-14,2016-12-12,2017-11-29,0.0587784659687325,-0.29194050501556557,480
300405,2016-11-01,14.34857814,5200,0.9070569996125186,1.0,0.9048794628901458,2016-11-28,2016-12-02,2016-12-12,0.107527964697359,-0.7652542581476997,480
300401,2016-11-01,12.07074467,6100,0.878936764244503,1.0,0.7678270630829066,2016-11-30,2016-12-14,2017-02-22,0.093749911311041,-0.14571718465485528,480
600390,2016-11-01,10.20960915,7300,0.3982318158039502,0.0,0.6780574145959286,2016-11-14,2016-11-14,2016-12-02,0.126494507278215,-0.5618729096989967,480
300337,2016-11-01,11.2703706,6700,0.864409718049158,1.0,0.8021561316798743,2016-11-07,2016-11-30,2016-12-22,0.0379130087588401,-0.7145466316786424,480
300317,2016-11-01,21.8860916,3400,0.888939390924411,1.0,0.8627636359868336,2016-11-21,2016-12-12,2017-01-09,0.0048084782497415,-0.7797688098865492,480
600110,2016-11-01,11.682732,6200,0.3292727059517381,0.0,0.8654159283307461,2016-11-01,2016-11-24,2016-11-30,0.1120769747479099,-0.6716886812091556,480
300221,2016-11-01,22.58741646,3400,0.1830298839274142,0.0,0.3853655292819494,2016-11-01,2016-11-01,2016-11-02,0.066236669171803,-0.7836126442944241,480
300022,2016-11-01,8.84,8500,0.3575974667459748,0.0,0.7264311950238485,2016-11-01,2016-12-13,2016-12-14,0.0826413754205193,-0.6346153846153846,480
