date,code,action,price,shares
2016-05-04,600797,SELL,10.83357783774,2100
2016-05-04,002268,SELL,21.07231806852,700
2016-05-04,600478,SELL,11.17378058445,2200
2016-05-04,002647,SELL,8.21471753952,3400
2016-05-04,300182,SELL,11.392173622800001,2200
2016-05-04,600763,SELL,21.64308341184,700
2016-05-04,300324,SELL,15.143987253599999,9400
2016-05-04,002074,SELL,29.5728600375,1000
2016-05-04,300150,SELL,10.493545170780001,2500
2016-05-04,000839,SELL,8.32935341889,3000
2016-05-04,000875,SELL,5.67148795488,3200
2016-05-04,002183,SELL,13.48944651054,1200
2016-05-04,601919,SELL,2.46544233975,5600
2016-05-04,002279,SELL,15.84845460108,1800
2016-05-04,300316,SELL,6.55155133056,2600
2016-05-04,002517,SELL,12.458632646249999,1800
2016-05-04,002526,SELL,3.4335357273000002,7900
2016-05-04,002407,SELL,25.262674737300003,2200
2016-05-04,002036,SELL,12.32506812447,2700
2016-05-04,002067,SELL,6.82078337901,2600
2016-05-04,300033,SELL,51.002653283010005,1100
2016-05-04,002685,SELL,9.86025695292,4500
2016-05-04,600446,SELL,30.73682268972,1100
2016-05-04,600435,SELL,11.753014221,1800
2016-05-04,600610,SELL,15.73425,5000
2016-05-04,300345,SELL,10.56511614816,8200
2016-05-04,600233,SELL,15.32415327723,3500
2016-05-04,600556,SELL,15.5236344264,6500
2016-05-04,300073,SELL,21.062220476220002,2100
2016-05-04,300136,SELL,19.517518944,1600
2016-05-04,002316,SELL,14.23637541396,1800
2016-05-04,000029,SELL,10.549057982399999,2300
2016-05-04,300278,SELL,13.48756469424,3100
2016-05-04,002172,SELL,11.33865,6000
2016-05-04,002583,SELL,9.5445091368,2700
2016-05-04,600666,SELL,11.48326591932,2700
2016-05-04,000882,SELL,4.40027779752,10400
2016-05-04,600490,BUY,7.374669742439999,4400
2016-05-04,002671,BUY,13.372763474069998,2400
2016-05-04,601069,BUY,22.90278448458,1400
2016-05-04,600990,BUY,43.76031956296,700
2016-05-04,002298,BUY,16.624313655949997,1900
2016-05-04,000409,BUY,9.439878037589999,3400
2016-05-04,000506,BUY,8.42842,3800
2016-05-04,600604,BUY,13.446550157039999,2400
2016-05-04,300070,BUY,15.809878604519998,2000
2016-05-04,300080,BUY,8.8088,3600
